product_id,product_name,main_category,sub_category,actual_price,discounted_price,discount_percentage,rating,rating_count
B08Y5QJTVK,"duracell cr2025 3v lithium coin battery, 5 pcs, 2025 coin button cell battery, dl2025",electronics,generalpurposebatteries&batterychargers,2.29,1.33,42.0,4.4,357.0
B08Y5QJXSR,atomberg renesa 1200mm bldc motor with remote 3 blade energy saving ceiling fan (matt black),home&kitchen,"heating,cooling&airquality",59.33,40.94,31.0,4.3,28629.0
B08Y7MXFMK,"offbeat® - dash 2.4ghz wireless + bluetooth 5.1 mouse, multi-device dual mode slim rechargeable silent click buttons wireless bluetooth mouse, 3 adjustable dpi, works on 2 devices at the same time with a switch button for windows/mac/android/ipad/smart tv",computers&accessories,accessories&peripherals,17.14,12.51,27.0,4.2,2375.0
B08YD264ZS,"tarkan portable folding laptop desk for bed, lapdesk with handle, drawer, cup & mobile/tablet holder for study, eating, work (black)",computers&accessories,accessories&peripherals,28.57,11.43,60.0,4.3,1690.0
B08YDFX7Y1,"zebronics zeb-dash plus 2.4ghz high precision wireless mouse with up to 1600 dpi, power saving mode, nano receiver and plug & play usage - usb",computers&accessories,accessories&peripherals,5.13,3.44,33.0,3.5,11827.0
B08YK7BBD2,"nirdambhay mini bag sealer, 2 in 1 heat sealer and cutter handheld sealing machine portable bag resealer sealer for plastic bags food storage snack fresh bag sealer (including 2 aa battery)",home&kitchen,kitchen&homeappliances,11.42,4.91,57.0,3.0,617.0
B08YRMBK9R,"candes 10 litre perfecto 5 star rated automatic instant storage electric water heater with special metal body anti rust coating with installation kit, 2kw geyser (ivory)",home&kitchen,"heating,cooling&airquality",72.01,37.45,48.0,3.9,2569.0
B08YXJJW8H,"lunagariya®, protective case compatible with jio settop box remote control,pu leather cover holder (before placing order,please compare the dimensions of the product with your remote)",electronics,"hometheater,tv&video",4.56,2.83,38.0,3.9,200.0
B08ZHYNTM1,havells festiva 1200mm dust resistant ceiling fan (gold mist),home&kitchen,"heating,cooling&airquality",45.79,32.97,28.0,4.3,7140.0
B08ZJDWTJ1,"seagate expansion 1tb external hdd - usb 3.0 for windows and mac with 3 yr data recovery services, portable hard drive (stkm1000400)",computers&accessories,externaldevices&datastorage,57.15,46.86,18.0,4.5,50810.0
B08ZN4B121,"wecool bluetooth extendable selfie sticks with wireless remote and tripod stand, 3-in-1 multifunctional selfie stick with tripod stand compatible with iphone/oneplus/samsung/oppo/vivo and all phones",electronics,mobiles&accessories,18.28,6.22,66.0,3.8,14648.0
B08ZXZ362Z,"akiara - makes life easy mini sewing machine for home tailoring use | mini silai machine with sewing kit set sewing box with thread scissors, needle all in one sewing accessories (white & purple)",home&kitchen,kitchen&homeappliances,35.42,17.71,50.0,3.5,2283.0
B09127FZCK,astigo compatible remote for airtel digital set top box (pairing required with tv remote),electronics,"hometheater,tv&video",10.28,3.39,67.0,3.8,425.0
B0912WJ87V,"reffair ax30 [max] portable air purifier for car, home & office | smart ionizer function | h13 grade true hepa filter [internationally tested] aromabuds fragrance option - black",car&motorbike,caraccessories,45.73,26.52,42.0,3.8,1118.0
B09163Q5CD,"verilux® usb c hub multiport adapter- 6 in 1 portable aluminum type c hub with 4k hdmi output, usb 2.0/3.0 ports, sd/micro sd card reader compatible for macbook pro 2016-2020, macbook air 2018-2020, type-c devices",computers&accessories,accessories&peripherals,22.05,13.67,38.0,4.1,1662.0
B091JF2TFD,boult audio bassbuds oak in-ear wired earphones with 10mm extra bass driver and hd sound with mic(brown),electronics,"headphones,earbuds&accessories",14.85,5.64,62.0,3.9,1173.0
B091KNVNS9,themisto 350 watts egg boiler-blue,home&kitchen,kitchen&homeappliances,7.99,4.24,47.0,4.1,1240.0
B091V8HK8Z,"milton go electro 2.0 stainless steel electric kettle, 1 piece, 2 litres, silver | power indicator | 1500 watts | auto cut-off | detachable 360 degree connector | boiler for water",home&kitchen,kitchen&homeappliances,20.01,15.41,23.0,3.8,2466.0
B0926V9CTV,elv mobile phone mount tabletop holder for phones and tablets - black,electronics,mobiles&accessories,6.85,1.03,85.0,4.3,2351.0
B092BJMT8Q,samsung 108 cm (43 inches) crystal 4k series ultra hd smart led tv ua43aue60aklxl (black),electronics,"hometheater,tv&video",604.77,356.81,41.0,4.3,7109.0
B092BL5DCX,samsung 138 cm (55 inches) crystal 4k series ultra hd smart led tv ua55aue60aklxl (black),electronics,"hometheater,tv&video",799.12,527.42,34.0,4.3,7109.0
B092JHPL72,"swapkart flexible mobile tabletop stand, metal built, heavy duty foldable lazy bracket clip mount multi angle clamp for all smartphones (pack of 1), multi color",electronics,mobiles&accessories,11.42,2.86,75.0,3.7,3234.0
B092R48XXB,"mi robot vacuum-mop p, best-in-class laser navigation in 10-20k inr price band, intelligent mapping, robotic floor cleaner with 2 in 1 mopping and vacuum, app control (wifi, alexa,ga), strong suction",home&kitchen,kitchen&homeappliances,342.96,216.06,37.0,4.1,2536.0
B092X94QNQ,"boat rockerz 330 in-ear bluetooth neckband with upto 30 hours playtime, asap  charge, signature sound, dual pairing & ipx5 with mic (active black)",electronics,"headphones,earbuds&accessories",45.61,17.33,62.0,4.1,109864.0
B093QCY6YJ,"zebronics zeb-usb150wf1 wifi usb mini adapter supports 150 mbps wireless data, comes with advanced security wpa/wpa2 encryption standards",computers&accessories,networkingdevices,3.99,3.31,17.0,3.7,1977.0
B093ZNQZ2Y,"lohaya remote compatible for mi smart led tv 4a remote control (32""/43"") [ compatible for mi tv remote control ] [ compatible for mi smart led tv remote control ]",electronics,"hometheater,tv&video",9.13,2.83,69.0,3.8,1079.0
B0941392C8,"lava charging adapter elements d3 2a fast charging speed usb type c data cable, white",computers&accessories,accessories&peripherals,5.13,1.49,71.0,3.7,41.0
B09474JWN6,"healthsense rechargeable lint remover for clothes | fuzz and fur remover | electric fabric shaver, trimmer for clothes, carpet, sofa, sweaters, curtains | one-year warranty included - new-feel lr350",home&kitchen,kitchen&homeappliances,17.15,11.49,33.0,4.2,386.0
B0949FPSFY,"bulfyss stainless steel digital kitchen weighing scale & food weight machine for diet, nutrition, health, fitness, baking & cooking (5kgs, stainless steel, 2 years warranty)",home&kitchen,kitchen&homeappliances,22.85,9.14,60.0,4.1,2162.0
